Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,TVC -> DTW,282,-25.0,351.0,8.92,0.0071,"1,11,4,5,6,7,8,9"
9E,TVC -> LGA,144,-17.0,1143.0,14.07,0.0139,"5,6,7,8,9"
9E,TYS -> LGA,1882,-19.0,783.0,2.24,0.0351,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,TYS -> MSP,404,-13.0,239.0,0.57,0.0149,"10,11,12,6,7,8,9"
9E,TYS -> XNA,2,-9.0,-9.0,-9.0,0.0,10
9E,VLD -> ATL,1442,-18.0,404.0,8.7,0.0236,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,XNA -> AUS,2,-9.0,-9.0,-9.0,0.0,11
9E,XNA -> DTW,84,-13.0,97.0,0.33,0.0,"11,12"
9E,XNA -> MSP,862,-19.0,255.0,5.83,0.0046,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,XNA -> TYS,2,-9.0,-9.0,-9.0,0.0,10
AA,ABQ -> AUS,4,-9.0,80.0,35.5,0.0,10
AA,AGS -> CLT,10,-3.0,121.0,34.2,0.0,4
AA,AGS -> DFW,32,-10.0,190.0,39.0,0.0,4
AA,AGS -> PHX,4,-6.0,50.0,22.0,0.0,4
AA,AMA -> DFW,410,-19.0,980.0,22.63,0.0244,"1,10,11,12,2"
AA,ANC -> DFW,762,-11.0,2225.0,35.39,0.0052,"1,10,11,12,3,4,5,6,7,8,9"
AA,ANC -> ORD,242,-12.0,1373.0,36.12,0.0,"5,6,7,8,9"
AA,ATL -> AUS,2,-13.0,-13.0,-13.0,0.0,10
AA,ATL -> DCA,190,-12.0,247.0,6.71,0.0211,"10,11,3,6,7,8"
AA,ATL -> DFW,5134,-15.0,2254.0,22.85,0.0218,"1,10,11,12,2,3,4,5,6,7,8,9"
AA,ATL -> LAX,700,-12.0,1156.0,22.55,0.0057,"1,10,11,12,2,3,4,5,6,7,8,9"
AA,ATL -> ORD,1230,-13.0,1428.0,25.31,0.0195,"1,10,11,12,2,3,4,5,6,7,8,9"
