Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
AA,ATL -> DFW,1241,-13.0,1618.0,23.76,0.029,"1,2,3,4,5,6,7"
AA,ATL -> LAX,175,-12.0,238.0,12.82,0.0,"1,2,3,4,5,6,7"
AA,ATL -> ORD,242,-13.0,1428.0,22.68,0.0165,"1,2,3,4,5,6,7"
AA,ATL -> PHL,264,-12.0,1290.0,23.9,0.0189,"1,2,3,4,5,6,7"
AA,ATL -> PHX,341,-15.0,1906.0,24.65,0.0059,"1,2,3,4,5,6,7"
AA,AUS -> CLT,905,-20.0,1479.0,21.38,0.011,"1,2,3,4,5,6,7"
AA,AUS -> DFW,1910,-18.0,1909.0,30.18,0.033,"1,2,3,4,5,6,7"
AA,AUS -> LAX,540,-16.0,403.0,14.39,0.0185,"1,2,3,4,5,6,7"
AA,AUS -> MIA,697,-15.0,1251.0,22.23,0.0244,"1,2,3,4,5,6,7"
AA,AUS -> MSY,33,-18.0,257.0,14.06,0.0,"1,2"
AA,AUS -> ORD,523,-17.0,1702.0,19.08,0.0076,"1,2,3,4,5,6,7"
AA,AUS -> PHL,412,-17.0,1561.0,49.76,0.0218,"1,2,3,4,5,6,7"
AA,AUS -> PHX,728,-15.0,1849.0,36.32,0.0041,"1,2,3,4,5,6,7"
AA,AUS -> SNA,166,-17.0,254.0,16.12,0.012,"1,2,3,4,5,6,7"
AA,AUS -> TPA,39,-13.0,1059.0,44.92,0.0,"1,2"
AA,AVP -> CLT,364,-18.0,754.0,21.75,0.0055,"1,2,3,4,5,6,7"
AA,BDL -> CLT,899,-17.0,1127.0,18.27,0.0067,"1,2,3,4,5,6,7"
AA,BDL -> DFW,273,-13.0,450.0,14.72,0.044,"1,2,3,4,5,6,7"
AA,BDL -> MIA,192,-11.0,653.0,11.53,0.0156,"1,2,3,4,5,6,7"
AA,BDL -> PHL,58,-11.0,22.0,-3.45,0.0345,"4,5,6,7"
AA,BGR -> PHL,59,-13.0,337.0,13.74,0.0339,"6,7"
AA,BHM -> DFW,151,-14.0,1001.0,50.45,0.0265,"1,2,5,6"
AA,BNA -> DFW,1627,-22.0,2972.0,35.26,0.04,"1,2,3,4,5,6,7"
AA,BNA -> LAX,184,-15.0,1579.0,34.08,0.0163,"1,2,3,4,5,6,7"
AA,BNA -> PHL,371,-17.0,1463.0,27.58,0.0108,"1,2,3,4,5,6,7"
AA,BOS -> CLT,1375,-15.0,1595.0,11.66,0.0058,"1,2,3,4,5,6,7"
AA,BOS -> DFW,1130,-12.0,1469.0,21.06,0.0204,"1,2,3,4,5,6,7"
AA,BOS -> JFK,5,-12.0,7.0,-5.0,0.0,"1,2"
AA,BOS -> MIA,1194,-15.0,1099.0,10.78,0.0184,"1,2,3,4,5,6,7"
AA,BOS -> ORD,716,-18.0,1409.0,23.31,0.0182,"1,2,3,4,5,6,7"
AA,BOS -> PBI,2,-9.0,-6.0,-7.5,0.0,2
AA,BTV -> DCA,83,-15.0,385.0,13.26,0.012,"3,4,6,7"
AA,BUF -> DCA,4,-10.0,75.0,31.25,0.0,6
AA,BUF -> ORD,55,-13.0,1252.0,43.75,0.0,"6,7"
AA,BUF -> PHL,28,-13.0,205.0,9.46,0.0,"6,7"
AA,BUR -> DFW,368,-15.0,1835.0,28.03,0.0245,"1,2,3,4,5,6,7"
AA,BWI -> DFW,528,-14.0,1690.0,25.62,0.0341,"1,2,3,4,5,6,7"
